awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
BBWAA Manager of the Year,2012,AL,melvibo01,116,140,16
BBWAA Manager of the Year,2012,AL,showabu99,108,140,12
BBWAA Manager of the Year,2012,AL,venturo01,12,140,0
BBWAA Manager of the Year,2012,AL,maddojo99,7,140,0
BBWAA Manager of the Year,2012,AL,girarjo01,5,140,0
BBWAA Manager of the Year,2012,AL,leylaji99,2,140,0
BBWAA Manager of the Year,2012,AL,washiro01,2,140,0
BBWAA Manager of the Year,2012,NL,johnsda02,131,160,23
BBWAA Manager of the Year,2012,NL,bakerdu01,77,160,5
BBWAA Manager of the Year,2012,NL,bochybr01,61,160,4
BBWAA Manager of the Year,2012,NL,gonzafr99,17,160,0
BBWAA Manager of the Year,2012,NL,blackbu02,1,160,0
BBWAA Manager of the Year,2012,NL,mathemi01,1,160,0
BBWAA Manager of the Year,2013,AL,francte01,112,150,16
BBWAA Manager of the Year,2013,AL,farrejo03,96,150,12
BBWAA Manager of the Year,2013,AL,melvibo01,36,150,2
BBWAA Manager of the Year,2013,AL,girarjo01,11,150,0
BBWAA Manager of the Year,2013,AL,maddojo99,9,150,0
BBWAA Manager of the Year,2013,AL,leylaji99,3,150,0
BBWAA Manager of the Year,2013,AL,showabu99,1,150,0
BBWAA Manager of the Year,2013,AL,washiro01,1,150,0
BBWAA Manager of the Year,2013,AL,yostne01,1,150,0
BBWAA Manager of the Year,2013,NL,hurdlcl01,140,150,25
BBWAA Manager of the Year,2013,NL,mattido01,68,150,2
BBWAA Manager of the Year,2013,NL,gonzafr99,43,150,3
BBWAA Manager of the Year,2013,NL,mathemi01,19,150,0
BBWAA Manager of the Year,2014,AL,showabu99,132,150,25
BBWAA Manager of the Year,2014,AL,sciosmi01,61,150,4
BBWAA Manager of the Year,2014,AL,yostne01,41,150,0
BBWAA Manager of the Year,2014,AL,mcclell01,29,150,1
BBWAA Manager of the Year,2014,AL,francte01,2,150,0
BBWAA Manager of the Year,2014,AL,girarjo01,1,150,0
BBWAA Manager of the Year,2014,AL,melvibo01,1,150,0
BBWAA Manager of the Year,2014,NL,willima04,109,150,18
BBWAA Manager of the Year,2014,NL,hurdlcl01,80,150,8
BBWAA Manager of the Year,2014,NL,bochybr01,30,150,3
BBWAA Manager of the Year,2014,NL,mathemi01,18,150,0
BBWAA Manager of the Year,2014,NL,redmomi01,16,150,1
BBWAA Manager of the Year,2014,NL,mattido01,12,150,0
BBWAA Manager of the Year,2014,NL,roeniro01,3,150,0
BBWAA Manager of the Year,2014,NL,blackbu02,1,150,0
