awardID,yearID,lgID,playerID,pointsWon,pointsMax,votesFirst
Cy Young,2013,AL,scherma01,203,210,28
Cy Young,2013,AL,darviyu01,93,210,0
Cy Young,2013,AL,iwakuhi01,73,210,0
Cy Young,2013,AL,sanchan01,46,210,1
Cy Young,2013,AL,salech01,44,210,1
Cy Young,2013,AL,colonba01,25,210,0
Cy Young,2013,AL,ueharko01,10,210,0
Cy Young,2013,AL,hernafe02,6,210,0
Cy Young,2013,AL,hollagr01,4,210,0
Cy Young,2013,AL,moorema02,4,210,0
Cy Young,2013,AL,shielja02,2,210,0
Cy Young,2013,NL,kershcl01,207,210,29
Cy Young,2013,NL,wainwad01,86,210,1
Cy Young,2013,NL,fernajo02,62,210,0
Cy Young,2013,NL,harvema01,39,210,0
Cy Young,2013,NL,kimbrcr01,39,210,0
Cy Young,2013,NL,leecl02,32,210,0
Cy Young,2013,NL,zimmejo02,21,210,0
Cy Young,2013,NL,greinza01,19,210,0
Cy Young,2013,NL,bumgama01,3,210,0
Cy Young,2013,NL,liriafr01,3,210,0
MVP,2013,AL,cabremi01,385,420,23
MVP,2013,AL,troutmi01,282,420,5
MVP,2013,AL,davisch02,232,420,1
MVP,2013,AL,donaljo02,222,420,1
MVP,2013,AL,canoro01,150,420,0
MVP,2013,AL,longoev01,103,420,0
MVP,2013,AL,beltrad01,99,420,0
MVP,2013,AL,pedrodu01,99,420,0
MVP,2013,AL,machama01,57,420,0
MVP,2013,AL,ortizda01,47,420,0
MVP,2013,AL,kipnija01,31,420,0
MVP,2013,AL,scherma01,25,420,0
MVP,2013,AL,jonesad01,9,420,0
MVP,2013,AL,encared01,7,420,0
MVP,2013,AL,crispco01,3,420,0
MVP,2013,AL,ellsbja01,3,420,0
MVP,2013,AL,hollagr01,3,420,0
MVP,2013,AL,santaca01,3,420,0
MVP,2013,AL,hunteto01,2,420,0
MVP,2013,AL,iwakuhi01,2,420,0
MVP,2013,AL,ueharko01,2,420,0
MVP,2013,AL,darviyu01,1,420,0
MVP,2013,AL,hernafe02,1,420,0
MVP,2013,AL,perezsa02,1,420,0
MVP,2013,AL,victosh01,1,420,0
MVP,2013,NL,mccutan01,409,420,28
MVP,2013,NL,goldspa01,242,420,0
MVP,2013,NL,molinya01,219,420,2
MVP,2013,NL,carpema01,194,420,0
MVP,2013,NL,freemfr01,154,420,0
MVP,2013,NL,vottojo01,149,420,0
MVP,2013,NL,kershcl01,146,420,0
MVP,2013,NL,ramirha01,58,420,0
MVP,2013,NL,gomezca01,43,420,0
MVP,2013,NL,bruceja01,30,420,0
MVP,2013,NL,kimbrcr01,27,420,0
MVP,2013,NL,choosh01,23,420,0
MVP,2013,NL,werthja01,20,420,0
MVP,2013,NL,simmoan01,14,420,0
MVP,2013,NL,puigya01,10,420,0
MVP,2013,NL,pencehu01,7,420,0
MVP,2013,NL,tulowtr01,5,420,0
MVP,2013,NL,craigal01,4,420,0
MVP,2013,NL,gonzaad01,4,420,0
MVP,2013,NL,cuddymi01,3,420,0
MVP,2013,NL,poseybu01,3,420,0
MVP,2013,NL,wainwad01,3,420,0
MVP,2013,NL,hollima01,2,420,0
MVP,2013,NL,martiru01,1,420,0
Rookie of the Year,2013,AL,myerswi01,131,150,23
Rookie of the Year,2013,AL,iglesjo01,80,150,5
Rookie of the Year,2013,AL,archech01,35,150,1
Rookie of the Year,2013,AL,straida01,15,150,1
Rookie of the Year,2013,AL,shuckja01,4,150,0
Rookie of the Year,2013,AL,allenco01,2,150,0
Rookie of the Year,2013,AL,perezma02,2,150,0
Rookie of the Year,2013,AL,loughda01,1,150,0
Rookie of the Year,2013,NL,fernajo02,142,150,26
Rookie of the Year,2013,NL,puigya01,95,150,4
Rookie of the Year,2013,NL,millesh01,12,150,0
Rookie of the Year,2013,NL,ryuhy01,10,150,0
Rookie of the Year,2013,NL,teherju01,7,150,0
Rookie of the Year,2013,NL,gyorkje01,2,150,0
Rookie of the Year,2013,NL,arenano01,1,150,0
Rookie of the Year,2013,NL,gattiev01,1,150,0
Cy Young,2012,AL,priceda01,153,196,14
Cy Young,2012,AL,verlaju01,149,196,13
Cy Young,2012,AL,weaveje02,70,196,0
Cy Young,2012,AL,hernafe02,41,196,0
Cy Young,2012,AL,rodnefe01,38,196,1
Cy Young,2012,AL,salech01,17,196,0
Cy Young,2012,AL,johnsji04,5,196,0
