year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2013,CYA,AL,scherma01,Max Scherzer,DET,203.0,28.0,97%,6.5,21,3,.875,2.90,32,32,0,0,0,0,214.1,152,73,69,18,56,0,240,4,1,6,836,0.970,144
2013,CYA,AL,darviyu01,Yu Darvish,TEX,93.0,0.0,44%,5.6,13,9,.591,2.83,32,32,0,0,0,0,209.2,145,68,66,26,80,1,277,8,1,7,841,1.073,145
2013,CYA,AL,iwakuhi01,Hisashi Iwakuma,SEA,73.0,0.0,35%,7.0,14,6,.700,2.66,33,33,0,0,0,0,219.2,179,69,65,25,42,4,185,2,0,10,866,1.006,138
2013,CYA,AL,sanchan01,Anibal Sanchez,DET,46.0,1.0,22%,6.1,14,8,.636,2.57,29,29,0,1,1,0,182.0,156,56,52,9,54,1,202,2,0,7,746,1.154,162
2013,CYA,AL,salech01,Chris Sale,CHW,44.0,1.0,21%,6.5,11,14,.440,3.07,30,30,0,4,1,0,214.1,184,81,73,23,46,2,226,14,1,8,866,1.073,137
2013,CYA,AL,colonba01,Bartolo Colon,OAK,25.0,0.0,12%,5.6,18,6,.750,2.65,30,30,0,3,3,0,190.1,193,60,56,14,29,0,117,0,0,1,769,1.166,147
2013,CYA,AL,ueharko01,Koji Uehara,BOS,10.0,0.0,5%,3.5,4,1,.800,1.09,73,0,40,0,0,21,74.1,33,10,9,5,9,2,101,1,0,1,265,0.565,379
2013,CYA,AL,hernafe02,Felix Hernandez,SEA,6.0,0.0,3%,5.1,12,10,.545,3.04,31,31,0,0,0,0,204.1,185,74,69,15,46,1,216,3,0,13,823,1.131,121
2013,CYA,AL,hollagr01,Greg Holland,KCR,4.0,0.0,2%,3.2,2,1,.667,1.21,68,0,61,0,0,47,67.0,40,11,9,3,18,1,103,0,0,2,255,0.866,342
2013,CYA,AL,moorema02,Matt Moore,TBR,4.0,0.0,2%,2.5,17,4,.810,3.29,27,27,0,1,1,0,150.1,119,58,55,14,76,1,143,4,1,17,642,1.297,117
